Time(fs),ZINDO,LC-DFTB,STO-3G,3-21G,6-31G,def2-SVP,def2-TZVP,def2-QZVP
360,4.624224,5.943319,6.455714,5.736871,5.650801,5.535887,,
361,4.626265,5.945626,6.457619,,,,,
362,4.62904,5.949212,6.460585,5.743429,,,,
363,4.63334,5.955106,6.465674,,,,,
364,4.639707,5.964207,6.473538,5.755293,5.669958,,,
365,4.647925,5.976661,6.484177,,,,,
366,4.657149,5.991667,6.496776,5.773606,,,,
367,4.666211,6.00774,6.510028,,,,,
368,4.674048,6.023366,6.522627,5.793198,5.7077,5.589222,5.488866,
369,4.680089,6.037731,6.533838,,,,,
370,4.684225,6.050448,6.543335,5.809008,,,,
371,4.686946,6.061698,6.551417,,,,,
372,4.688851,6.071722,6.558682,5.820818,5.733823,,,
373,4.690592,6.080749,6.565567,,,,,
374,4.692497,6.088958,6.572369,5.831158,,,,
375,4.694647,6.096406,6.579036,,,,,
376,4.696878,6.103235,6.585431,5.841172,5.752735,5.633168,,
377,4.699055,6.109483,6.591227,,,,,
378,4.701123,6.115118,6.596207,5.850043,,,,
379,4.703191,6.120022,6.600261,,,,,
380,4.705314,6.123824,6.603282,5.856438,5.767919,,,
381,4.707654,6.126258,6.605241,,,,,
382,4.709967,6.126788,6.605839,5.858995,,,,
383,4.711844,6.125016,6.604833,,,,,
384,4.712497,6.120183,6.60154,5.85573,5.768137,5.647481,5.546091,5.522799
385,4.711191,6.111902,6.595581,,,,,
386,4.707082,6.099387,6.586002,5.843376,,,,
387,4.699926,6.082632,6.573104,,,,,
388,4.68983,6.061774,6.556723,5.819131,5.731973,,,
389,4.677123,6.037358,6.537103,,,,,
390,4.662374,6.010224,6.514708,5.784218,,,,
391,4.646292,5.981793,6.490354,,,,,
392,4.629693,5.953723,6.465265,5.743483,5.65627,5.54084,,
393,4.613611,5.928008,6.44121,,,,,
394,4.59957,5.906842,6.420748,5.707999,,,,
395,4.589284,5.892409,6.406026,,,,,
396,4.584495,5.886583,6.399659,5.692761,5.606201,,,
397,4.586726,5.890987,6.403822,,,,,
398,4.596414,5.905797,6.41838,5.709442,,,,
399,4.613013,5.930401,6.442571,,,,,
400,4.634618,5.962484,6.473565,5.753878,5.667182,5.550935,5.450634,
401,4.658374,5.998731,6.507579,,,,,
402,4.681014,6.0352,6.540314,5.806369,,,,
403,4.699518,6.067964,6.567961,,,,,
404,4.711953,6.093813,6.587989,5.843811,5.756163,,,
405,4.717994,6.111084,6.599826,,,,,
406,4.718674,6.119576,6.60418,5.856655,,,,
407,4.715899,6.120311,6.603717,,,,,
408,4.711654,6.114592,6.600288,5.852791,5.764599,5.64408,,
409,4.70711,6.103488,6.59569,,,,,
410,4.702837,6.088466,6.590846,5.843186,,,,
411,4.698538,6.071784,6.585812,,,,,
412,4.694184,6.057495,6.580859,5.833526,5.744952,,,
413,4.689912,6.049512,6.576261,,,,,
414,4.686429,6.049757,6.572778,5.827974,,,,
415,4.684606,6.056927,6.571118,,,,,
416,4.685259,6.068169,6.571961,5.83026,5.741524,5.622447,5.520322,5.497601
417,4.688905,6.080752,6.575689,,,,,
418,4.695164,6.092517,6.581621,5.840165,,,,
419,4.702837,6.101996,6.588315,,,,,
420,4.709776,6.107309,6.593377,5.84939,5.761143,,,
421,4.713314,6.106191,6.593948,,,,,
